label,message,metadata
1,"rsa: fix bn_reduce_once_in_place call for rsaz_mod_exp_avx512_x2

bn_reduce_once_in_place expects the number of BN_ULONG, but factor_size
is moduli bit size.

Fixes #18625.

Signed-off-by: Xi Ruoyao <xry111@xry111.site>

Reviewed-by: Tomas Mraz <tomas@openssl.org>
Reviewed-by: Paul Dale <pauli@openssl.org>
(Merged from https://github.com/openssl/openssl/pull/18626)

(cherry picked from commit 4d8a88c134df634ba610ff8db1eb8478ac5fd345)","{'remote': 'https://github.com/openssl/openssl.git ', 'hash': 'a1f7034bbd8f0730d360211f5ba0feeaef0b7b2c', 'cve': 'CVE-2022-2274'}"
1,"Fix file operations in c_rehash.

CVE-2022-2068

Reviewed-by: Matt Caswell <matt@openssl.org>
Reviewed-by: Richard Levitte <levitte@openssl.org>","{'remote': 'https://github.com/openssl/openssl.git ', 'hash': '9639817dac8bbbaa64d09efad7464ccc405527c7', 'cve': 'CVE-2022-2068'}"
1,"Fix bug in OPENSSL_LH_flush

Fixes #18139.

Reviewed-by: Richard Levitte <levitte@openssl.org>
Reviewed-by: Tomas Mraz <tomas@openssl.org>
(Merged from https://github.com/openssl/openssl/pull/18141)

(cherry picked from commit e5da68183410c06f7b350a0721bc2bd6057e438e)","{'remote': 'https://github.com/openssl/openssl.git ', 'hash': '64c85430f95200b6b51fe9475bd5203f7c19daf1', 'cve': 'CVE-2022-1473'}"
1,"Fix possible infinite loop in BN_mod_sqrt()

The calculation in some cases does not finish for non-prime p.

This fixes CVE-2022-0778.

Based on patch by David Benjamin <davidben@google.com>.

Reviewed-by: Paul Dale <pauli@openssl.org>
Reviewed-by: Matt Caswell <matt@openssl.org>
(cherry picked from commit 9eafb53614bf65797db25f467946e735e1b43dc9)","{'remote': 'https://github.com/openssl/openssl.git ', 'hash': 'a466912611aa6cbdf550cd10601390e587451246', 'cve': 'CVE-2022-0778'}"
1,"Don't overflow the output length in EVP_CipherUpdate calls

CVE-2021-23840

Reviewed-by: Paul Dale <pauli@openssl.org>","{'remote': 'https://github.com/openssl/openssl.git ', 'hash': '6a51b9e1d0cf0bf8515f7201b68fb0a3482b3dc1', 'cve': 'CVE-2021-23840'}"
1,"Merge r1901461 from trunk via #320:

  *) mod_proxy: ap_proxy_create_hdrbrgd() to clear hop-by-hop first and fixup last.



git-svn-id: https://svn.apache.org/repos/asf/httpd/httpd/branches/2.4.x@1901480 13f79535-47bb-0310-9956-ffa450edef68","{'remote': 'https://github.com/apache/httpd.git ', 'hash': '956f708b094698ac9ad570d640d4f30eb0df7305', 'cve': 'CVE-2022-31813'}"
1,"Merge r1901497 from trunk:

use a liberal default limit for LimitRequestBody of 1GB


git-svn-id: https://svn.apache.org/repos/asf/httpd/httpd/branches/2.4.x@1901499 13f79535-47bb-0310-9956-ffa450edef68","{'remote': 'https://github.com/apache/httpd.git ', 'hash': 'ce259c4061905bf834f9af51c92456cfe8335ddc', 'cve': 'CVE-2022-29404'}"
1,"Merge r1901502 from trunk:

use filters consistently


git-svn-id: https://svn.apache.org/repos/asf/httpd/httpd/branches/2.4.x@1901503 13f79535-47bb-0310-9956-ffa450edef68","{'remote': 'https://github.com/apache/httpd.git ', 'hash': '3a561759fcb37af179585adb8478922dc9bc6a85', 'cve': 'CVE-2022-30556'}"
1,"Merge r1901506 from trunk:

limit mod_sed memory use

Resync mod_sed.c with trunk due to merge conflicts.


git-svn-id: https://svn.apache.org/repos/asf/httpd/httpd/branches/2.4.x@1901509 13f79535-47bb-0310-9956-ffa450edef68","{'remote': 'https://github.com/apache/httpd.git ', 'hash': 'db47781128e42bd49f55076665b3f6ca4e2bc5e2', 'cve': 'CVE-2022-30522'}"
1,"Merge r1901494 from trunk:

fix types



git-svn-id: https://svn.apache.org/repos/asf/httpd/httpd/branches/2.4.x@1901495 13f79535-47bb-0310-9956-ffa450edef68","{'remote': 'https://github.com/apache/httpd.git ', 'hash': '6503d09ab51047554c384a6d03646ce1a8848120', 'cve': 'CVE-2022-28615'}"
